page_num,title,initiative_url,topic,type_of_act,feedback_period,end_year,feedback_label,feedback_count,feedback_page_url,group
43,Erasmus+ 2021-27 interim evaluation & Erasmus+ 2014-20 final evaluation,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13454-Erasmus%2B-2021-27-interim-evaluation-Erasmus%2B-2014-20-final-evaluation_en,Education and training,Report,28 July 2022 - 12 September 2022,2022,All feedback and statistics (195) >,195,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13454-Erasmus%2B-2021-27-interim-evaluation-Erasmus%2B-2014-20-final-evaluation_en/feedback?p_id=16141,pre2022
44,Waste from electrical and electronic equipment – evaluating the EU rules,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13420-Waste-from-electrical-and-electronic-equipment-evaluating-the-EU-rules_en,Environment,Staff working document,06 October 2022 - 03 November 2022,2022,All feedback and statistics (106) >,106,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13420-Waste-from-electrical-and-electronic-equipment-evaluating-the-EU-rules_en/feedback?p_id=16329,pre2022
6,State aid rules for banks in difficulty - evaluation,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13324-State-aid-rules-for-banks-in-difficulty-evaluation_en,Competition,Staff working document,17 March 2022 - 15 July 2022,2022,All feedback and statistics (36) >,36,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13324-State-aid-rules-for-banks-in-difficulty-evaluation_en/feedback?p_id=15734,pre2022
30,Protecting children from unsafe toys and strengthening the Single Market – revision of the Toy Safety Directive,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13164-Protecting-children-from-unsafe-toys-and-strengthening-the-Single-Market-revision-of-the-Toy-Safety-Directive_en,Single market,Communication concerning the position of the Council,05 October 2021 - 02 November 2021,2021,All feedback and statistics (33) >,33,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13164-Protecting-children-from-unsafe-toys-and-strengthening-the-Single-Market-revision-of-the-Toy-Safety-Directive_en/feedback?p_id=15137,pre2022
12,Energy efficiency – ecodesign requirements for space and combination heaters (review),https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13202-Energy-efficiency-ecodesign-requirements-for-space-and-combination-heaters-review-_en,Energy,Regulation,03 March 2022 - 01 April 2022,2022,All feedback and statistics (28) >,28,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13202-Energy-efficiency-ecodesign-requirements-for-space-and-combination-heaters-review-_en/feedback?p_id=15689,pre2022
12,Energy efficiency – labelling requirements for space and combination heaters (review/rescaling),https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13201-Energy-efficiency-labelling-requirements-for-space-and-combination-heaters-review-rescaling-_en,Energy,Delegated regulation,03 March 2022 - 01 April 2022,2022,All feedback and statistics (28) >,28,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13201-Energy-efficiency-labelling-requirements-for-space-and-combination-heaters-review-rescaling-_en/feedback?p_id=15689,pre2022
12,Energy efficiency – labelling requirements for water heaters and tanks (review/rescaling),https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13204-Energy-efficiency-labelling-requirements-for-water-heaters-and-tanks-review-rescaling-_en,Energy,Delegated regulation,03 March 2022 - 01 April 2022,2022,All feedback and statistics (24) >,24,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13204-Energy-efficiency-labelling-requirements-for-water-heaters-and-tanks-review-rescaling-_en/feedback?p_id=15688,pre2022
12,Energy efficiency – ecodesign requirements for water heaters and tanks (review),https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13205-Energy-efficiency-ecodesign-requirements-for-water-heaters-and-tanks-review-_en,Energy,Regulation,03 March 2022 - 01 April 2022,2022,All feedback and statistics (24) >,24,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13205-Energy-efficiency-ecodesign-requirements-for-water-heaters-and-tanks-review-_en/feedback?p_id=15688,pre2022
30,External power supplies – ecodesign & information requirements (review),https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13351-External-power-supplies-ecodesign-information-requirements-review-_en,Energy,Regulation,06 April 2022 - 04 May 2022,2022,All feedback and statistics (16) >,16,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13351-External-power-supplies-ecodesign-information-requirements-review-_en/feedback?p_id=15811,pre2022
20,Detergents – streamlining and updating the EU rules,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13116-Detergents-streamlining-and-updating-the-EU-rules_en,Single market,Communication concerning the position of the Council,21 September 2021 - 19 October 2021,2021,All feedback and statistics (15) >,15,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13116-Detergents-streamlining-and-updating-the-EU-rules_en/feedback?p_id=15076,pre2022
10,European Open Digital Ecosystems,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/16213-European-Open-Digital-Ecosystems_en,Digital economy and society,Communication,06 January 2026 - 03 February 2026,2026,All feedback and statistics (1658) >,1658,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/16213-European-Open-Digital-Ecosystems_en/feedback?p_id=21875,post2024
11,EU public procurement rules – revision,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/15492-EU-public-procurement-rules-revision_en,Single market,NA,03 November 2025 - 26 January 2026,2026,All feedback and statistics (746) >,746,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/15492-EU-public-procurement-rules-revision_en/feedback?p_id=21057,post2024
12,Organic production – targeted updates and simplification,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/15273-Organic-production-targeted-updates-and-simplification_en,Agriculture and rural development,Proposal for a regulation,21 October 2025 - 18 November 2025,2025,All feedback and statistics (720) >,720,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/15273-Organic-production-targeted-updates-and-simplification_en/feedback?p_id=20839,post2024
1,"EU emissions trading system for maritime, aviation and stationary installations, and market stability reserve – review",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14549-EU-emissions-trading-system-for-maritime-aviation-and-stationary-installations-and-market-stability-reserve-review_en,Climate action,Proposal for a directive,14 April 2025 - 08 July 2025,2025,All feedback and statistics (377) >,377,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14549-EU-emissions-trading-system-for-maritime-aviation-and-stationary-installations-and-market-stability-reserve-review_en/feedback?p_id=19516,post2024
10,Communication on better regulation,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/16232-Communication-on-better-regulation_en,Institutional affairs,Communication,07 January 2026 - 04 February 2026,2026,All feedback and statistics (288) >,288,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/16232-Communication-on-better-regulation_en/feedback?p_id=21878,post2024
10,Enhancing the strategy for the rights of persons with disabilities up to 2030,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/15452-Enhancing-the-strategy-for-the-rights-of-persons-with-disabilities-up-to-2030_en,"Consumers, Employment and social affairs, Justice and fundamental rights",Communication,14 November 2025 - 06 February 2026,2026,All feedback and statistics (238) >,238,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/15452-Enhancing-the-strategy-for-the-rights-of-persons-with-disabilities-up-to-2030_en/feedback?p_id=21209,post2024
1,Standardisation Regulation – revision,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14511-Standardisation-Regulation-revision_en,Single market,Proposal for a regulation,23 June 2025 - 21 July 2025,2025,All feedback and statistics (200) >,200,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14511-Standardisation-Regulation-revision_en/feedback?p_id=19881,post2024
10,The EU Cybersecurity Act,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14578-The-EU-Cybersecurity-Act_en,Digital economy and society,Proposal for a regulation,11 April 2025 - 20 June 2025,2025,All feedback and statistics (184) >,184,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14578-The-EU-Cybersecurity-Act_en/feedback?p_id=19492,post2024
1,European Research Area Act,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14608-European-Research-Area-Act_en,"Employment and social affairs, Research and innovation, Single market",Proposal for a regulation,06 August 2025 - 10 September 2025,2025,All feedback and statistics (178) >,178,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14608-European-Research-Area-Act_en/feedback?p_id=20218,post2024
11,"Renewable energy – revising biofuel, bioliquid and biomass fuel production pathway values and modifying methodology",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14343-Renewable-energy-revising-biofuel-bioliquid-and-biomass-fuel-production-pathway-values-and-modifying-methodology_en,Energy,Delegated directive,15 December 2025 - 26 January 2026,2026,All feedback and statistics (166) >,166,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14343-Renewable-energy-revising-biofuel-bioliquid-and-biomass-fuel-production-pathway-values-and-modifying-methodology_en/feedback?p_id=21682,post2024
